CodeForces average performance (100 contests, top-50):
272.43558552260146, 0.45: 0.6237632653061224, 4.171s
272.43558552260146, 0.5: 0.6243510204081633, 5.442s
272.43558552260146, 0.55: 0.624342857142857, 5.387s
272.43558552260146, 0.6000000000000001: 0.6244897959183673, 5.902s
272.43558552260146, 0.65: 0.6249551020408165, 5.472s
272.43558552260146, 0.7000000000000001: 0.6251836734693877, 4.85s
272.43558552260146, 0.75: 0.6253061224489795, 6.048s
272.43558552260146, 0.8: 0.6248734693877551, 6.112s
272.43558552260146, 0.8500000000000001: 0.6249877551020409, 5.023s
272.43558552260146, 0.9: 0.624669387755102, 4.834s
272.43558552260146, 0.9500000000000001: 0.6244489795918364, 5.617s
287.43558552260146, 0.05: 0.6160653061224489, 4.315s
287.43558552260146, 0.1: 0.6174367346938778, 4.719s
287.43558552260146, 0.15000000000000002: 0.6190775510204083, 4.979s
287.43558552260146, 0.2: 0.6201061224489797, 4.819s
287.43558552260146, 0.25: 0.6211183673469386, 4.575s
287.43558552260146, 0.30000000000000004: 0.6217551020408162, 5.275s
287.43558552260146, 0.35000000000000003: 0.6227428571428573, 4.511s
287.43558552260146, 0.4: 0.623412244897959, 4.366s
287.43558552260146, 0.45: 0.6237632653061224, 5.439s
287.43558552260146, 0.5: 0.6243510204081633, 5.808s
287.43558552260146, 0.55: 0.624342857142857, 6.525s
287.43558552260146, 0.6000000000000001: 0.6244897959183673, 5.682s
287.43558552260146, 0.65: 0.6249551020408165, 6.574s
287.43558552260146, 0.7000000000000001: 0.6251836734693877, 4.871s
287.43558552260146, 0.75: 0.6253061224489795, 6.108s
287.43558552260146, 0.8: 0.6248734693877551, 5.679s
287.43558552260146, 0.8500000000000001: 0.6249877551020409, 4.685s
287.43558552260146, 0.9: 0.624669387755102, 5.625s
287.43558552260146, 0.9500000000000001: 0.6244489795918364, 5.011s
302.43558552260146, 0.05: 0.6160653061224489, 4.718s
302.43558552260146, 0.1: 0.6174367346938778, 4.609s
302.43558552260146, 0.15000000000000002: 0.6190775510204083, 4.739s
302.43558552260146, 0.2: 0.6201061224489797, 4.215s
302.43558552260146, 0.25: 0.6211183673469386, 4.6s
302.43558552260146, 0.30000000000000004: 0.6217551020408162, 5.083s
302.43558552260146, 0.35000000000000003: 0.6227428571428573, 4.535s
302.43558552260146, 0.4: 0.623412244897959, 4.508s
302.43558552260146, 0.45: 0.6237632653061224, 4.752s
302.43558552260146, 0.5: 0.6243510204081633, 4.42s
302.43558552260146, 0.55: 0.624342857142857, 4.35s
302.43558552260146, 0.6000000000000001: 0.6244897959183673, 4.501s
302.43558552260146, 0.65: 0.6249551020408165, 4.996s
302.43558552260146, 0.7000000000000001: 0.6251836734693877, 4.843s
302.43558552260146, 0.75: 0.6253061224489795, 5.143s
302.43558552260146, 0.8: 0.6248734693877551, 6.917s
302.43558552260146, 0.8500000000000001: 0.6249877551020409, 5.495s
302.43558552260146, 0.9: 0.624669387755102, 6.006s
302.43558552260146, 0.9500000000000001: 0.6244489795918364, 4.998s
317.43558552260146, 0.05: 0.6160653061224489, 5.091s
317.43558552260146, 0.1: 0.6174367346938778, 4.884s
317.43558552260146, 0.15000000000000002: 0.6190775510204083, 5.012s
317.43558552260146, 0.2: 0.6201061224489797, 5.061s
317.43558552260146, 0.25: 0.6211183673469386, 4.308s
317.43558552260146, 0.30000000000000004: 0.6217551020408162, 5.417s
317.43558552260146, 0.35000000000000003: 0.6227428571428573, 5.365s
317.43558552260146, 0.4: 0.623412244897959, 5.422s
317.43558552260146, 0.45: 0.6237632653061224, 5.241s
317.43558552260146, 0.5: 0.6243510204081633, 5.273s
317.43558552260146, 0.55: 0.624342857142857, 4.8s
317.43558552260146, 0.6000000000000001: 0.6244897959183673, 4.547s
317.43558552260146, 0.65: 0.6249551020408165, 4.393s
317.43558552260146, 0.7000000000000001: 0.6251836734693877, 4.694s
317.43558552260146, 0.75: 0.6253061224489795, 4.519s
317.43558552260146, 0.8: 0.6248734693877551, 4.194s
317.43558552260146, 0.8500000000000001: 0.6249877551020409, 4.182s
317.43558552260146, 0.9: 0.624669387755102, 4.807s
317.43558552260146, 0.9500000000000001: 0.6244489795918364, 5.483s
332.43558552260146, 0.05: 0.6160653061224489, 3.71s
332.43558552260146, 0.1: 0.6174367346938778, 4.691s
332.43558552260146, 0.15000000000000002: 0.6190775510204083, 5.049s
332.43558552260146, 0.2: 0.6201061224489797, 6.214s
332.43558552260146, 0.25: 0.6211183673469386, 3.842s
332.43558552260146, 0.30000000000000004: 0.6217551020408162, 3.837s
332.43558552260146, 0.35000000000000003: 0.6227428571428573, 4.51s
332.43558552260146, 0.4: 0.623412244897959, 4.703s
332.43558552260146, 0.45: 0.6237632653061224, 5.209s
332.43558552260146, 0.5: 0.6243510204081633, 5.361s
332.43558552260146, 0.55: 0.624342857142857, 5.381s
332.43558552260146, 0.6000000000000001: 0.6244897959183673, 5.201s
332.43558552260146, 0.65: 0.6249551020408165, 5.351s
332.43558552260146, 0.7000000000000001: 0.6251836734693877, 4.946s
332.43558552260146, 0.75: 0.6253061224489795, 4.675s
332.43558552260146, 0.8: 0.6248734693877551, 5.826s
332.43558552260146, 0.8500000000000001: 0.6249877551020409, 5.057s
332.43558552260146, 0.9: 0.624669387755102, 5.022s
332.43558552260146, 0.9500000000000001: 0.6244489795918364, 6.221s
347.43558552260146, 0.05: 0.6160653061224489, 3.888s
347.43558552260146, 0.1: 0.6174367346938778, 3.58s
347.43558552260146, 0.15000000000000002: 0.6190775510204083, 3.853s
347.43558552260146, 0.2: 0.6201061224489797, 4.307s
347.43558552260146, 0.25: 0.6211183673469386, 4.124s
347.43558552260146, 0.30000000000000004: 0.6217551020408162, 3.836s
347.43558552260146, 0.35000000000000003: 0.6227428571428573, 3.904s
347.43558552260146, 0.4: 0.623412244897959, 4.108s
347.43558552260146, 0.45: 0.6237632653061224, 4.078s
347.43558552260146, 0.5: 0.6243510204081633, 4.515s
347.43558552260146, 0.55: 0.624342857142857, 6.645s
347.43558552260146, 0.6000000000000001: 0.6244897959183673, 4.403s
347.43558552260146, 0.65: 0.6249551020408165, 4.187s
347.43558552260146, 0.7000000000000001: 0.6251836734693877, 5.653s
347.43558552260146, 0.75: 0.6253061224489795, 5.897s
347.43558552260146, 0.8: 0.6248734693877551, 5.96s
347.43558552260146, 0.8500000000000001: 0.6249877551020409, 6.223s
347.43558552260146, 0.9: 0.624669387755102, 6.145s
347.43558552260146, 0.9500000000000001: 0.6244489795918364, 5.607s
362.43558552260146, 0.05: 0.6160653061224489, 4.17s
362.43558552260146, 0.1: 0.6174367346938778, 4.464s
362.43558552260146, 0.15000000000000002: 0.6190775510204083, 3.873s
362.43558552260146, 0.2: 0.6201061224489797, 4.255s
362.43558552260146, 0.25: 0.6211183673469386, 4.191s
362.43558552260146, 0.30000000000000004: 0.6217551020408162, 4.328s
362.43558552260146, 0.35000000000000003: 0.6227428571428573, 4.336s
362.43558552260146, 0.4: 0.623412244897959, 4.133s
362.43558552260146, 0.45: 0.6237632653061224, 4.255s
362.43558552260146, 0.5: 0.6243510204081633, 4.487s
362.43558552260146, 0.55: 0.624342857142857, 4.187s
362.43558552260146, 0.6000000000000001: 0.6244897959183673, 4.477s
362.43558552260146, 0.65: 0.6249551020408165, 4.133s
362.43558552260146, 0.7000000000000001: 0.6251836734693877, 4.205s
362.43558552260146, 0.75: 0.6253061224489795, 4.625s
362.43558552260146, 0.8: 0.6248734693877551, 4.473s
362.43558552260146, 0.8500000000000001: 0.6249877551020409, 4.491s
362.43558552260146, 0.9: 0.624669387755102, 4.252s
362.43558552260146, 0.9500000000000001: 0.6244489795918364, 4.151s
377.43558552260146, 0.05: 0.6160653061224489, 3.214s
377.43558552260146, 0.1: 0.6174367346938778, 3.58s
377.43558552260146, 0.15000000000000002: 0.6190775510204083, 3.721s
377.43558552260146, 0.2: 0.6201061224489797, 3.79s
377.43558552260146, 0.25: 0.6211183673469386, 3.94s
377.43558552260146, 0.30000000000000004: 0.6217551020408162, 4.131s
377.43558552260146, 0.35000000000000003: 0.6227428571428573, 4.309s
377.43558552260146, 0.4: 0.623412244897959, 4.309s
377.43558552260146, 0.45: 0.6237632653061224, 4.079s
377.43558552260146, 0.5: 0.6243510204081633, 4.133s
377.43558552260146, 0.55: 0.624342857142857, 4.166s
377.43558552260146, 0.6000000000000001: 0.6244897959183673, 4.382s
377.43558552260146, 0.65: 0.6249551020408165, 4.741s
377.43558552260146, 0.7000000000000001: 0.6251836734693877, 4.436s
377.43558552260146, 0.75: 0.6253061224489795, 4.435s
377.43558552260146, 0.8: 0.6248734693877551, 4.344s
377.43558552260146, 0.8500000000000001: 0.6249877551020409, 4.232s
377.43558552260146, 0.9: 0.624669387755102, 4.512s
377.43558552260146, 0.9500000000000001: 0.6244489795918364, 4.955s
392.43558552260146, 0.05: 0.6160653061224489, 3.284s
392.43558552260146, 0.1: 0.6174367346938778, 3.384s
392.43558552260146, 0.15000000000000002: 0.6190775510204083, 4.318s
392.43558552260146, 0.2: 0.6201061224489797, 5.751s
392.43558552260146, 0.25: 0.6211183673469386, 6.008s
