CodeForces average performance (50 contests, top-50):
247.43558552260146, 1: 0.648538775510204, 1.155s
247.43558552260146, 1.1: 0.6493061224489795, 1.151s
247.43558552260146, 1.2000000000000002: 0.6495836734693876, 1.172s
247.43558552260146, 1.3: 0.6490938775510203, 1.15s
247.43558552260146, 1.4000000000000001: 0.6491755102040817, 1.149s
247.43558552260146, 1.5: 0.6488816326530613, 1.152s
247.43558552260146, 1.6: 0.6487999999999999, 1.308s
247.43558552260146, 1.7000000000000002: 0.649208163265306, 1.177s
247.43558552260146, 1.8: 0.6494204081632654, 1.178s
247.43558552260146, 1.9000000000000001: 0.6491591836734696, 1.178s
267.43558552260146, 0.1: 0.6486530612244897, 1.193s
267.43558552260146, 0.2: 0.6495510204081633, 1.108s
267.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.058s
267.43558552260146, 0.4: 0.651673469387755, 1.078s
267.43558552260146, 0.5: 0.6519673469387754, 1.097s
267.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.149s
267.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.147s
267.43558552260146, 0.8: 0.6493551020408163, 1.136s
267.43558552260146, 0.9: 0.6490448979591839, 1.394s
267.43558552260146, 1: 0.648538775510204, 1.145s
267.43558552260146, 1.1: 0.6493061224489795, 1.162s
267.43558552260146, 1.2000000000000002: 0.6495836734693876, 1.143s
267.43558552260146, 1.3: 0.6490938775510203, 1.14s
267.43558552260146, 1.4000000000000001: 0.6491755102040817, 1.158s
267.43558552260146, 1.5: 0.6488816326530613, 1.199s
267.43558552260146, 1.6: 0.6487999999999999, 1.152s
267.43558552260146, 1.7000000000000002: 0.649208163265306, 1.153s
267.43558552260146, 1.8: 0.6494204081632654, 1.164s
267.43558552260146, 1.9000000000000001: 0.6491591836734696, 1.171s
287.43558552260146, 0.1: 0.6486530612244897, 0.955s
287.43558552260146, 0.2: 0.6495510204081633, 1s
287.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.052s
287.43558552260146, 0.4: 0.651673469387755, 1.069s
287.43558552260146, 0.5: 0.6519673469387754, 1.089s
287.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.092s
287.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.107s
287.43558552260146, 0.8: 0.6493551020408163, 1.101s
287.43558552260146, 0.9: 0.6490448979591839, 1.247s
287.43558552260146, 1: 0.648538775510204, 1.176s
287.43558552260146, 1.1: 0.6493061224489795, 1.127s
287.43558552260146, 1.2000000000000002: 0.6495836734693876, 1.132s
287.43558552260146, 1.3: 0.6490938775510203, 1.181s
287.43558552260146, 1.4000000000000001: 0.6491755102040817, 1.236s
287.43558552260146, 1.5: 0.6488816326530613, 1.165s
287.43558552260146, 1.6: 0.6487999999999999, 1.15s
287.43558552260146, 1.7000000000000002: 0.649208163265306, 1.253s
287.43558552260146, 1.8: 0.6494204081632654, 1.179s
287.43558552260146, 1.9000000000000001: 0.6491591836734696, 1.181s
307.43558552260146, 0.1: 0.6486530612244897, 1.051s
307.43558552260146, 0.2: 0.6495510204081633, 1.019s
307.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.061s
307.43558552260146, 0.4: 0.651673469387755, 1.139s
307.43558552260146, 0.5: 0.6519673469387754, 1.105s
