CodeForces average performance (50 contests, top-50):
272.43558552260146, 0.45: 0.6512163265306122, 1.169s
272.43558552260146, 0.5: 0.6519673469387754, 1.209s
272.43558552260146, 0.55: 0.6509714285714284, 1.109s
272.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.088s
272.43558552260146, 0.65: 0.650269387755102, 1.083s
272.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.082s
272.43558552260146, 0.75: 0.6499428571428573, 1.088s
272.43558552260146, 0.8: 0.6493551020408163, 1.108s
272.43558552260146, 0.8500000000000001: 0.6494530612244896, 1.12s
272.43558552260146, 0.9: 0.6490448979591839, 1.086s
272.43558552260146, 0.9500000000000001: 0.6485387755102039, 1.1s
287.43558552260146, 0.05: 0.6487183673469388, 0.91s
287.43558552260146, 0.1: 0.6486530612244897, 0.926s
287.43558552260146, 0.15000000000000002: 0.6495020408163265, 0.969s
287.43558552260146, 0.2: 0.6495510204081633, 0.986s
287.43558552260146, 0.25: 0.6496489795918365, 1.115s
287.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.176s
287.43558552260146, 0.35000000000000003: 0.6514285714285716, 1.098s
287.43558552260146, 0.4: 0.651673469387755, 1.081s
287.43558552260146, 0.45: 0.6512163265306122, 1.055s
287.43558552260146, 0.5: 0.6519673469387754, 1.13s
287.43558552260146, 0.55: 0.6509714285714284, 1.072s
287.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.057s
287.43558552260146, 0.65: 0.650269387755102, 1.083s
287.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.087s
287.43558552260146, 0.75: 0.6499428571428573, 1.081s
287.43558552260146, 0.8: 0.6493551020408163, 1.089s
287.43558552260146, 0.8500000000000001: 0.6494530612244896, 1.125s
287.43558552260146, 0.9: 0.6490448979591839, 1.095s
287.43558552260146, 0.9500000000000001: 0.6485387755102039, 1.101s
302.43558552260146, 0.05: 0.6487183673469388, 1.052s
302.43558552260146, 0.1: 0.6486530612244897, 1.015s
302.43558552260146, 0.15000000000000002: 0.6495020408163265, 1.026s
302.43558552260146, 0.2: 0.6495510204081633, 0.998s
302.43558552260146, 0.25: 0.6496489795918365, 1.046s
302.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.121s
302.43558552260146, 0.35000000000000003: 0.6514285714285716, 1.109s
302.43558552260146, 0.4: 0.651673469387755, 1.041s
302.43558552260146, 0.45: 0.6512163265306122, 1.068s
302.43558552260146, 0.5: 0.6519673469387754, 1.058s
302.43558552260146, 0.55: 0.6509714285714284, 1.063s
302.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.146s
302.43558552260146, 0.65: 0.650269387755102, 1.078s
302.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.079s
302.43558552260146, 0.75: 0.6499428571428573, 1.112s
302.43558552260146, 0.8: 0.6493551020408163, 1.3s
302.43558552260146, 0.8500000000000001: 0.6494530612244896, 1.195s
302.43558552260146, 0.9: 0.6490448979591839, 1.159s
302.43558552260146, 0.9500000000000001: 0.6485387755102039, 1.102s
317.43558552260146, 0.05: 0.6487183673469388, 0.888s
317.43558552260146, 0.1: 0.6486530612244897, 0.925s
317.43558552260146, 0.15000000000000002: 0.6495020408163265, 0.964s
317.43558552260146, 0.2: 0.6495510204081633, 0.986s
317.43558552260146, 0.25: 0.6496489795918365, 1.001s
317.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.01s
317.43558552260146, 0.35000000000000003: 0.6514285714285716, 1.123s
317.43558552260146, 0.4: 0.651673469387755, 1.229s
317.43558552260146, 0.45: 0.6512163265306122, 1.159s
317.43558552260146, 0.5: 0.6519673469387754, 2.185s
317.43558552260146, 0.55: 0.6509714285714284, 1.731s
317.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.831s
317.43558552260146, 0.65: 0.650269387755102, 1.897s
317.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.491s
317.43558552260146, 0.75: 0.6499428571428573, 1.33s
317.43558552260146, 0.8: 0.6493551020408163, 1.369s
317.43558552260146, 0.8500000000000001: 0.6494530612244896, 1.742s
317.43558552260146, 0.9: 0.6490448979591839, 1.529s
317.43558552260146, 0.9500000000000001: 0.6485387755102039, 1.47s
332.43558552260146, 0.05: 0.6487183673469388, 1.273s
332.43558552260146, 0.1: 0.6486530612244897, 1.987s
332.43558552260146, 0.15000000000000002: 0.6495020408163265, 1.554s
332.43558552260146, 0.2: 0.6495510204081633, 1.506s
332.43558552260146, 0.25: 0.6496489795918365, 1.008s
332.43558552260146, 0.30000000000000004: 0.6503999999999999, 0.994s
332.43558552260146, 0.35000000000000003: 0.6514285714285716, 1.01s
332.43558552260146, 0.4: 0.651673469387755, 1.033s
332.43558552260146, 0.45: 0.6512163265306122, 1.037s
332.43558552260146, 0.5: 0.6519673469387754, 1.026s
332.43558552260146, 0.55: 0.6509714285714284, 1.04s
332.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.051s
332.43558552260146, 0.65: 0.650269387755102, 1.039s
332.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.054s
332.43558552260146, 0.75: 0.6499428571428573, 1.126s
332.43558552260146, 0.8: 0.6493551020408163, 1.224s
332.43558552260146, 0.8500000000000001: 0.6494530612244896, 1.099s
332.43558552260146, 0.9: 0.6490448979591839, 1.072s
332.43558552260146, 0.9500000000000001: 0.6485387755102039, 1.068s
347.43558552260146, 0.05: 0.6487183673469388, 0.885s
347.43558552260146, 0.1: 0.6486530612244897, 0.958s
347.43558552260146, 0.15000000000000002: 0.6495020408163265, 0.925s
347.43558552260146, 0.2: 0.6495510204081633, 0.957s
347.43558552260146, 0.25: 0.6496489795918365, 0.953s
347.43558552260146, 0.30000000000000004: 0.6503999999999999, 0.991s
347.43558552260146, 0.35000000000000003: 0.6514285714285716, 0.989s
347.43558552260146, 0.4: 0.651673469387755, 1.001s
347.43558552260146, 0.45: 0.6512163265306122, 1.011s
347.43558552260146, 0.5: 0.6519673469387754, 1.033s
347.43558552260146, 0.55: 0.6509714285714284, 1.027s
347.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.168s
347.43558552260146, 0.65: 0.650269387755102, 1.152s
347.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.086s
347.43558552260146, 0.75: 0.6499428571428573, 1.064s
347.43558552260146, 0.8: 0.6493551020408163, 1.051s
347.43558552260146, 0.8500000000000001: 0.6494530612244896, 1.06s
347.43558552260146, 0.9: 0.6490448979591839, 1.066s
347.43558552260146, 0.9500000000000001: 0.6485387755102039, 1.08s
362.43558552260146, 0.05: 0.6487183673469388, 0.857s
362.43558552260146, 0.1: 0.6486530612244897, 0.903s
362.43558552260146, 0.15000000000000002: 0.6495020408163265, 0.938s
362.43558552260146, 0.2: 0.6495510204081633, 0.951s
362.43558552260146, 0.25: 0.6496489795918365, 0.971s
362.43558552260146, 0.30000000000000004: 0.6503999999999999, 0.986s
362.43558552260146, 0.35000000000000003: 0.6514285714285716, 0.995s
362.43558552260146, 0.4: 0.651673469387755, 1.146s
362.43558552260146, 0.45: 0.6512163265306122, 1.418s
362.43558552260146, 0.5: 0.6519673469387754, 1.127s
362.43558552260146, 0.55: 0.6509714285714284, 1.178s
362.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.067s
362.43558552260146, 0.65: 0.650269387755102, 1.986s
362.43558552260146, 0.7000000000000001: 0.6503183673469389, 2.949s
362.43558552260146, 0.75: 0.6499428571428573, 1.693s
362.43558552260146, 0.8: 0.6493551020408163, 1.578s
362.43558552260146, 0.8500000000000001: 0.6494530612244896, 1.605s
362.43558552260146, 0.9: 0.6490448979591839, 3.035s
362.43558552260146, 0.9500000000000001: 0.6485387755102039, 2.642s
377.43558552260146, 0.05: 0.6487183673469388, 1.285s
377.43558552260146, 0.1: 0.6486530612244897, 1.398s
377.43558552260146, 0.15000000000000002: 0.6495020408163265, 1.348s
377.43558552260146, 0.2: 0.6495510204081633, 1.32s
377.43558552260146, 0.25: 0.6496489795918365, 1.588s
377.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.524s
377.43558552260146, 0.35000000000000003: 0.6514285714285716, 1.553s
377.43558552260146, 0.4: 0.651673469387755, 1.765s
377.43558552260146, 0.45: 0.6512163265306122, 1.805s
377.43558552260146, 0.5: 0.6519673469387754, 1.75s
377.43558552260146, 0.55: 0.6509714285714284, 2.117s
377.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.765s
377.43558552260146, 0.65: 0.650269387755102, 1.782s
377.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.818s
377.43558552260146, 0.75: 0.6499428571428573, 1.616s
377.43558552260146, 0.8: 0.6493551020408163, 1.645s
377.43558552260146, 0.8500000000000001: 0.6494530612244896, 1.701s
377.43558552260146, 0.9: 0.6490448979591839, 2.045s
377.43558552260146, 0.9500000000000001: 0.6485387755102039, 1.829s
392.43558552260146, 0.05: 0.6487183673469388, 1.495s
392.43558552260146, 0.1: 0.6486530612244897, 1.48s
392.43558552260146, 0.15000000000000002: 0.6495020408163265, 1.417s
392.43558552260146, 0.2: 0.6495510204081633, 1.497s
392.43558552260146, 0.25: 0.6496489795918365, 1.547s
392.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.718s
392.43558552260146, 0.35000000000000003: 0.6514285714285716, 1.61s
392.43558552260146, 0.4: 0.651673469387755, 1.758s
392.43558552260146, 0.45: 0.6512163265306122, 2.122s
392.43558552260146, 0.5: 0.6519673469387754, 1.687s
392.43558552260146, 0.55: 0.6509714285714284, 1.478s
392.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.596s
392.43558552260146, 0.65: 0.650269387755102, 1.716s
392.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.699s
392.43558552260146, 0.75: 0.6499428571428573, 1.874s
392.43558552260146, 0.8: 0.6493551020408163, 1.705s
392.43558552260146, 0.8500000000000001: 0.6494530612244896, 1.77s
392.43558552260146, 0.9: 0.6490448979591839, 1.963s
392.43558552260146, 0.9500000000000001: 0.6485387755102039, 1.701s
407.43558552260146, 0.05: 0.6487183673469388, 1.336s
407.43558552260146, 0.1: 0.6486530612244897, 1.456s
407.43558552260146, 0.15000000000000002: 0.6495020408163265, 1.463s
407.43558552260146, 0.2: 0.6495510204081633, 1.399s
407.43558552260146, 0.25: 0.6496489795918365, 1.567s
407.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.722s
407.43558552260146, 0.35000000000000003: 0.6514285714285716, 1.803s
407.43558552260146, 0.4: 0.651673469387755, 1.452s
407.43558552260146, 0.45: 0.6512163265306122, 1.637s
407.43558552260146, 0.5: 0.6519673469387754, 1.534s
407.43558552260146, 0.55: 0.6509714285714284, 1.577s
407.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.443s
407.43558552260146, 0.65: 0.650269387755102, 1.423s
407.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.501s
407.43558552260146, 0.75: 0.6499428571428573, 1.702s
407.43558552260146, 0.8: 0.6493551020408163, 1.763s
407.43558552260146, 0.8500000000000001: 0.6494530612244896, 1.544s
407.43558552260146, 0.9: 0.6490448979591839, 1.949s
407.43558552260146, 0.9500000000000001: 0.6485387755102039, 2.531s
422.43558552260146, 0.05: 0.6487183673469388, 1.797s
422.43558552260146, 0.1: 0.6486530612244897, 1.496s
422.43558552260146, 0.15000000000000002: 0.6495020408163265, 1.517s
422.43558552260146, 0.2: 0.6495510204081633, 1.501s
422.43558552260146, 0.25: 0.6496489795918365, 1.464s
422.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.558s
422.43558552260146, 0.35000000000000003: 0.6514285714285716, 1.466s
422.43558552260146, 0.4: 0.651673469387755, 1.554s
422.43558552260146, 0.45: 0.6512163265306122, 1.846s
422.43558552260146, 0.5: 0.6519673469387754, 2.142s
422.43558552260146, 0.55: 0.6509714285714284, 1.785s
422.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.891s
422.43558552260146, 0.65: 0.650269387755102, 1.758s
422.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.618s
422.43558552260146, 0.75: 0.6499428571428573, 1.668s
422.43558552260146, 0.8: 0.6493551020408163, 1.662s
422.43558552260146, 0.8500000000000001: 0.6494530612244896, 1.618s
422.43558552260146, 0.9: 0.6490448979591839, 1.937s
422.43558552260146, 0.9500000000000001: 0.6485387755102039, 2.048s
437.43558552260146, 0.05: 0.6487183673469388, 1.453s
437.43558552260146, 0.1: 0.6486530612244897, 1.519s
437.43558552260146, 0.15000000000000002: 0.6495020408163265, 1.571s
437.43558552260146, 0.2: 0.6495510204081633, 1.505s
437.43558552260146, 0.25: 0.6496489795918365, 1.46s
437.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.471s
437.43558552260146, 0.35000000000000003: 0.6514285714285716, 1.562s
437.43558552260146, 0.4: 0.651673469387755, 1.77s
437.43558552260146, 0.45: 0.6512163265306122, 1.669s
437.43558552260146, 0.5: 0.6519673469387754, 1.726s
437.43558552260146, 0.55: 0.6509714285714284, 1.655s
437.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.873s
437.43558552260146, 0.65: 0.650269387755102, 1.528s
437.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.599s
437.43558552260146, 0.75: 0.6499428571428573, 1.632s
437.43558552260146, 0.8: 0.6493551020408163, 1.643s
437.43558552260146, 0.8500000000000001: 0.6494530612244896, 1.646s
437.43558552260146, 0.9: 0.6490448979591839, 1.935s
437.43558552260146, 0.9500000000000001: 0.6485387755102039, 1.915s
452.43558552260146, 0.05: 0.6487183673469388, 1.411s
452.43558552260146, 0.1: 0.6486530612244897, 1.549s
452.43558552260146, 0.15000000000000002: 0.6495020408163265, 1.346s
452.43558552260146, 0.2: 0.6495510204081633, 1.467s
452.43558552260146, 0.25: 0.6496489795918365, 1.542s
